Loop ID,EDI Segment,EDI Data Element Name,EDI Element Description,Usage,Enumeration Values,Hardcode,Extract layout name,Position,Level,Mapping Logic,COMMENTS,PIEDMONT
2300,2300.HI08.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABF International Classification of Diseases Clinical
Modification (ICD-10-CM) Diagnosis
BF International Classification of Diseases Clinical
Modification (ICD-9-CM) Diagnosis","Hardcode as ""ABF""",,,,,,
2300,2300.HI08.02,Industry Code,Code indicating a code from a specific industry code list,R,,,DIAGNOSIS_CODE_09,145,Claim,,,
2300,2300.HI08.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,"N No
U Unknown
W Not Applicable
Y Yes",,DIAGNOSIS_CODE_09_POA,146,Claim,,,
2300,2300.HI09,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI09.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABF International Classification of Diseases Clinical
Modification (ICD-10-CM) Diagnosis
BF International Classification of Diseases Clinical
Modification (ICD-9-CM) Diagnosis","Hardcode as ""ABF""",,,,,,
2300,2300.HI09.02,Industry Code,Code indicating a code from a specific industry code list,R,,,DIAGNOSIS_CODE_10,148,Claim,,,
2300,2300.HI09.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,"N No
U Unknown
W Not Applicable
Y Yes",,DIAGNOSIS_CODE_10_POA,149,Claim,,,
2300,2300.HI10,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI10.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABF International Classification of Diseases Clinical
Modification (ICD-10-CM) Diagnosis
BF International Classification of Diseases Clinical
Modification (ICD-9-CM) Diagnosis","Hardcode as ""ABF""",,,,,,
2300,2300.HI10.02,Industry Code,Code indicating a code from a specific industry code list,R,,,DIAGNOSIS_CODE_11,151,Claim,,,
2300,2300.HI10.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,"N No
U Unknown
W Not Applicable
Y Yes",,DIAGNOSIS_CODE_11_POA,152,Claim,,,
2300,2300.HI11,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI11.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABF International Classification of Diseases Clinical
Modification (ICD-10-CM) Diagnosis
BF International Classification of Diseases Clinical
Modification (ICD-9-CM) Diagnosis","Hardcode as ""ABF""",,,,,,
2300,2300.HI11.02,Industry Code,Code indicating a code from a specific industry code list,R,,,DIAGNOSIS_CODE_12,154,Claim,,,
2300,2300.HI11.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,"N No
U Unknown
W Not Applicable
Y Yes",,DIAGNOSIS_CODE_12_POA,155,Claim,,,
2300,2300.HI12,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI12.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABF International Classification of Diseases Clinical
Modification (ICD-10-CM) Diagnosis
BF International Classification of Diseases Clinical
Modification (ICD-9-CM) Diagnosis","Hardcode as ""ABF""",,,,,,
2300,2300.HI12.02,Industry Code,Code indicating a code from a specific industry code list,R,,,DIAGNOSIS_CODE_13,157,Claim,,,
2300,2300.HI12.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,"N No
U Unknown
W Not Applicable
Y Yes",,DIAGNOSIS_CODE_13_POA,158,Claim,,,
2300,2300.HI13,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI13.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABF International Classification of Diseases Clinical
Modification (ICD-10-CM) Diagnosis
BF International Classification of Diseases Clinical
Modification (ICD-9-CM) Diagnosis","Hardcode as ""ABF""",,,,,,
2300,2300.HI13.02,Industry Code,Code indicating a code from a specific industry code list,R,,,DIAGNOSIS_CODE_14,160,Claim,,,
2300,2300.HI13.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,"N No
U Unknown
W Not Applicable
Y Yes",,DIAGNOSIS_CODE_14_POA,161,Claim,,,
2300,2300.HI14,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI14.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABF International Classification of Diseases Clinical
Modification (ICD-10-CM) Diagnosis
BF International Classification of Diseases Clinical
Modification (ICD-9-CM) Diagnosis","Hardcode as ""ABF""",,,,,,
2300,2300.HI14.02,Industry Code,Code indicating a code from a specific industry code list,R,,,DIAGNOSIS_CODE_15,163,Claim,,,
2300,2300.HI14.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,"N No
U Unknown
W Not Applicable
Y Yes",,DIAGNOSIS_CODE_15_POA,164,Claim,,,
2300,2300.HI15,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI15.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABF International Classification of Diseases Clinical
Modification (ICD-10-CM) Diagnosis
BF International Classification of Diseases Clinical
Modification (ICD-9-CM) Diagnosis","Hardcode as ""ABF""",,,,,,
2300,2300.HI15.02,Industry Code,Code indicating a code from a specific industry code list,R,,,DIAGNOSIS_CODE_16,166,Claim,,,
2300,2300.HI15.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,"N No
U Unknown
W Not Applicable
Y Yes",,DIAGNOSIS_CODE_16_POA,167,Claim,,,
2300,2300.HI16,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI16.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABF International Classification of Diseases Clinical
Modification (ICD-10-CM) Diagnosis
BF International Classification of Diseases Clinical
Modification (ICD-9-CM) Diagnosis","Hardcode as ""ABF""",,,,,,
2300,2300.HI16.02,Industry Code,Code indicating a code from a specific industry code list,R,,,DIAGNOSIS_CODE_17,169,Claim,,,
2300,2300.HI16.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,"N No
U Unknown
W Not Applicable
Y Yes",,DIAGNOSIS_CODE_17_POA,170,Claim,,,
2300,2300.HI17,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI17.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABF International Classification of Diseases Clinical
Modification (ICD-10-CM) Diagnosis
BF International Classification of Diseases Clinical
Modification (ICD-9-CM) Diagnosis","Hardcode as ""ABF""",,,,,,
2300,2300.HI17.02,Industry Code,Code indicating a code from a specific industry code list,R,,,DIAGNOSIS_CODE_18,172,Claim,,,
2300,2300.HI17.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,"N No
U Unknown
W Not Applicable
Y Yes",,DIAGNOSIS_CODE_18_POA,173,Claim,,,
2300,2300.HI18,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI18.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABF International Classification of Diseases Clinical
Modification (ICD-10-CM) Diagnosis
BF International Classification of Diseases Clinical
Modification (ICD-9-CM) Diagnosis","Hardcode as ""ABF""",,,,,,
2300,2300.HI18.02,Industry Code,Code indicating a code from a specific industry code list,R,,,DIAGNOSIS_CODE_19,175,Claim,,,
2300,2300.HI18.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,"N No
U Unknown
W Not Applicable
Y Yes",,DIAGNOSIS_CODE_19_POA,176,Claim,,,
2300,2300.HI19,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI19.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABF International Classification of Diseases Clinical
Modification (ICD-10-CM) Diagnosis
BF International Classification of Diseases Clinical
Modification (ICD-9-CM) Diagnosis","Hardcode as ""ABF""",,,,,,
2300,2300.HI19.02,Industry Code,Code indicating a code from a specific industry code list,R,,,DIAGNOSIS_CODE_20,178,Claim,,,
2300,2300.HI19.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,"N No
U Unknown
W Not Applicable
Y Yes",,DIAGNOSIS_CODE_20_POA,179,Claim,,,
2300,2300.HI20,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI20.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABF International Classification of Diseases Clinical
Modification (ICD-10-CM) Diagnosis
BF International Classification of Diseases Clinical
Modification (ICD-9-CM) Diagnosis","Hardcode as ""ABF""",,,,,,
2300,2300.HI20.02,Industry Code,Code indicating a code from a specific industry code list,R,,,DIAGNOSIS_CODE_21,181,Claim,,,
2300,2300.HI20.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,"N No
U Unknown
W Not Applicable
Y Yes",,DIAGNOSIS_CODE_21_POA,182,Claim,,,
2300,2300.HI21,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI21.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABF International Classification of Diseases Clinical
Modification (ICD-10-CM) Diagnosis
BF International Classification of Diseases Clinical
Modification (ICD-9-CM) Diagnosis","Hardcode as ""ABF""",,,,,,
2300,2300.HI21.02,Industry Code,Code indicating a code from a specific industry code list,R,,,DIAGNOSIS_CODE_22,184,Claim,,,
2300,2300.HI21.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,"N No
U Unknown
W Not Applicable
Y Yes",,DIAGNOSIS_CODE_22_POA,185,Claim,,,
2300,2300.HI22,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI22.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABF International Classification of Diseases Clinical
Modification (ICD-10-CM) Diagnosis
BF International Classification of Diseases Clinical
Modification (ICD-9-CM) Diagnosis","Hardcode as ""ABF""",,,,,,
2300,2300.HI22.02,Industry Code,Code indicating a code from a specific industry code list,R,,,DIAGNOSIS_CODE_23,187,Claim,,,
2300,2300.HI22.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,"N No
U Unknown
W Not Applicable
Y Yes",,DIAGNOSIS_CODE_23_POA,188,Claim,,,
2300,2300.HI23,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI23.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABF International Classification of Diseases Clinical
Modification (ICD-10-CM) Diagnosis
BF International Classification of Diseases Clinical
Modification (ICD-9-CM) Diagnosis","Hardcode as ""ABF""",,,,,,
2300,2300.HI23.02,Industry Code,Code indicating a code from a specific industry code list,R,,,DIAGNOSIS_CODE_24,190,Claim,,,
2300,2300.HI23.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,"N No
U Unknown
W Not Applicable
Y Yes",,DIAGNOSIS_CODE_24_POA,191,Claim,,,
2300,2300.HI24,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",S,,,,,,,,
2300,2300.HI24.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"ABF International Classification of Diseases Clinical
Modification (ICD-10-CM) Diagnosis
BF International Classification of Diseases Clinical
Modification (ICD-9-CM) Diagnosis","Hardcode as ""ABF""",,,,,,
2300,2300.HI24.02,Industry Code,Code indicating a code from a specific industry code list,R,,,DIAGNOSIS_CODE_25,193,Claim,,,
2300,2300.HI24.09,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,S,"N No
U Unknown
W Not Applicable
Y Yes",,DIAGNOSIS_CODE_25_POA,194,Claim,,,
2300,HI,Principal Procedure Information,,S,,,,,,,,
2300,2300.HI01,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",R,,,,,,,,
2300,2300.HI01.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"BBR : International Classification of Diseases Clinical
Modification (ICD-10-PCS) Principal Procedure
Codes
BR : International Classification of Diseases Clinical
Modification (ICD-9-CM) Principal Procedure Codes
CAH : Advanced Billing Concepts (ABC) Codes","Hardcode as ""BBR""",,,,,,
2300,2300.HI01.02,Industry Code,Code indicating a code from a specific industry code list,R,,,PRINCIPAL_PROCEDURE,240,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/procedureInfo/principalProcedure/procedureCode
2300,2300.HI01.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 : Date Expressed in Format CCYYMMDD,"Hardcode as ""D8""",,,,,,
2300,2300.HI01.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,PRINCIPAL_PROCEDURE_DATE,241,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/procedureInfo/principalProcedure/procedureDate
2300,HI,Other Procedure Information -Segment Repeat: 2,,S,,,,,,,,
2300,2300.HI01,Healthcare code information,"To send health care codes and their associated dates, amounts and quantities",R,,,,,,,,
2300,2300.HI01.01,Code List Qualifier Code,Code identifying a specific industry code list,R,"BBQ International Classification of Diseases Clinical Modification (ICD-10-PCS) Other Procedure Codes
BQ International Classification of Diseases Clinical
Modification (ICD-9-CM) Other Procedure Codes","Hardcode as ""BBQ""",,,,,,
2300,2300.HI01.02,Industry Code,Code indicating a code from a specific industry code list,R,,,PROCEDURE_02,243,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/procedureInfo/otherProcedure/procedure/procedureCode
2300,2300.HI01.03,Date Time Period Format Qualifier,"Code indicating the date format, time format, or date and time format",R,D8 Date Expressed in Format CCYYMMDD,"Hardcode as ""D8""",,,,,,
2300,2300.HI01.04,Date Time Period,"Expression of a date, a time, or range of dates, times or dates and times",R,,,PROCEDURE_02_DATE,244,Claim,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/procedureInfo/otherProcedure/procedure/procedureDate
