EDILoopID. Segment,EDI Data Element Name,EDI Element Description,Usage,Enumeration Values,Hard Code / Default Value,XML Field,Mapping Logic/ Comments,
2300.HI04.02,Industry Code,Condition Code,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prConditionCodes/string,,
2300.HI05.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BG: Condition,BG,,,
2300.HI05.02,Industry Code,Condition Code,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prConditionCodes/string,,
2300.HI06.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BG: Condition,BG,,,
2300.HI06.02,Industry Code,Condition Code,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prConditionCodes/string,,
2300.HI07.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BG: Condition,BG,,,
2300.HI07.02,Industry Code,Condition Code,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prConditionCodes/string,,
2300.HI08.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BG: Condition,BG,,,
2300.HI08.02,Industry Code,Condition Code,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prConditionCodes/string,,
2300.HI09.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BG: Condition,BG,,,
2300.HI09.02,Industry Code,Condition Code,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prConditionCodes/string,,
2300.HI10.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BG: Condition,BG,,,
2300.HI10.02,Industry Code,Condition Code,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prConditionCodes/string,,
2300.HI11.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BG: Condition,BG,,,
2300.HI11.02,Industry Code,Condition Code,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prConditionCodes/string,,
2300.HI12.01,Code List Qualifier Code,Code identifying a specific industry code list,R,BG: Condition,BG,,,
2300.HI12.02,Industry Code,Condition Code,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/prConditionCodes/string,,
HCP,Segment - HCP Claim Pricing/Repricing Information (Situational),,,,,,,
2300.HCP01,Pricing Methodology,"Code specifying pricing methodology at which the claim or line item has been
priced or repriced",R,,not there in the ks excel,,,
2300.HCP02,Monetary Amount,Repriced Allowed Amount,R,,,,,
2300.HCP03,Monetary Amount,Repriced Saving Amount,S,,,,,
2300.HCP04,Reference Identification,Repricing Organization Identifier,S,,,,,
2300.HCP05,Rate,Repricing Per Diem or Flat Rate Amount,S,,,,,
2300.HCP06,Reference Identification,Repriced Approved Ambulatory Patient Group Code,S,,,,,
2300.HCP07,Monetary Amount,Repriced Approved Ambulatory Patient Group Amount,S,,,,,
2300.HCP13,Reject Reason Code,Code assigned by issuer to identify reason for rejection,S,,,,,
2300.HCP14,Policy Compliance Code,Code specifying policy compliance,S,,,,,
2300.HCP15,Exception Code,Code specifying the exception reason for consideration of out-of-network health care services,S,,,,,
,,,,,,,,
NM1,Segment - NM1 Referring Provider Name (Situational),,R,,Populate only once if exist,,,
2310A.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,"DN : Referring Provider
P3 : Primary Care Provider",DN,,,
2310A.NM102,Entity Type Qualifier,y,R,1 : Person,1,,,
2310A.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail//claim/referringInformation/practitioner/lastName,,
2310A.NM104,Name First,Individual first name,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail//claim/referringInformation/practitioner/firstName,,
2310A.NM105,Name Middle,Individual middle name or initial,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail//claim/referringInformation/practitioner/middleName,,
2310A.NM107,Name Suffix,Suffix to individual name,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail//claim/referringInformation/practitioner/nameSuffix,,
2310A.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",S,"XX :  Centers for Medicare and Medicaid Services
National Provider Identifier",XX,,,
2310A.NM109,Identification Code,Referring Provider Identifier,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail//claim/referringInformation/NPI,,
REF,Segment - REF Referring Provider Secondary Identification (Situational),,,,,,,
2310A.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"0B : State License Number
1G : Provider UPIN Number
G2 : Provider Commercial Number",,,,
2310A.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier/ Referring Provider Secondary Identifier",R,,,,,
,,,,,,,,
NM1,Segment - NM1 Rendering Physician Name (Situational),,,,,,,
2310B.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,82 : Rendering Provider,82,,,
2310B.NM102,Entity Type Qualifier,"Code identifying an organizational entity, a physical location, property or an
individual",R,"1 : Person
2 : Non-Person Entity",1,,,
2310B.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/renderingPractitioner/practitioner/lastName/,"Copy from first service line when claim/claimLine/claimLine/renderingPractitioner/hccId/ is not same as
claim/supplier/hccId/",
2310B.NM104,Name First,Individual first name,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/renderingPractitioner/practitioner/firstName/,"Copy from first service line when claim/claimLine/claimLine/renderingPractitioner/hccId/ is not same as
claim/supplier/hccId/",
2310B.NM105,Name Middle,Individual middle name or initial,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/renderingPractitioner/practitioner/middleName/,"Copy from first service line when claim/claimLine/claimLine/renderingPractitioner/hccId/ is not same as
claim/supplier/hccId/",
2310B.NM107,Name Suffix,Suffix to individual name,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/renderingPractitioner/practitioner/credentialSuffix/,"Copy from first service line when claim/claimLine/claimLine/renderingPractitioner/hccId/ is not same as
claim/supplier/hccId/",
2310B.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",S,"XX :  Centers for Medicare and Medicaid Services
National Provider Identifier",XX,,,
2310B.NM109,Identification Code,Code identifying a party or other code /Rendering Provider Identifier,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/renderingPractitioner/NPI/,"Copy from first service line when claim/claimLine/claimLine/renderingPractitioner/hccId/ is not same as
claim/supplier/hccId/",
PRV,Segment - PRV Rendering Provider Specialty Information (Situational),,,,,,,
2310B.PRV01,Provider Code,Code identifying the type of provider,R,PE : Performing,PE,,,
2310B.PRV02,Reference Identification Qualifier,Code qualifying the Reference Identification,R,PXC : Health Care Provider Taxonomy Code,PXC,,,
2310B.PRV03,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier / Provider Taxonomy Code",R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/renderingPractitioner/primarySpecialty/taxonomyCode/,"Copy from first service line when claim/claimLine/claimLine/renderingPractitioner/hccId/ is not same as
claim/supplier/hccId/",
REF,Segment - REF Rendering Provider Secondary Identification (Situational),,,,,,,
2310B.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"0B : State License Number
1G : Provider UPIN Number
G2 : Provider Commercial Number
LU : Location Number",G2,,,
2310B.REF02,Reference Identification,Rendering Provider Secondary Identifier,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/renderingPractitioner/NPI,Populate this if billing provider is different,
Loop: 2420C — SERVICE FACILITY LOCATION NAME Loop Repeat: 1,,,,,,,,
NM1,Segment - NM1 Service Facility Location Name (Situational),,,,Populate 2310C only when 2310C.NM103 is different from 2010AA.NM103(supplier name),,,
2310C.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an individual",R,77 : Service Location,77,,,
2310C.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,2 : Non-Person Entity,2,,,
2310C.NM103,Name Last or Organization Name,Individual last name or organizational name /Laboratory or Facility Name,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail//claim/hcfa1500Info/renderingFacility/facilityName,,
2310C.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",S,"XX :  Centers for Medicare and Medicaid Services
National Provider Identifier",XX,,,
2310C.NM109,Identification Code,Laboratory or Facility Primary Identifier,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail//claim/hcfa1500Info/renderingFacility/npi,,
N3,Segment - N3 Service Facility Location Address (Required),,,,,,,
2310C.N301,Address Information,Address information,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/ /claim/hcfa1500Info/renderingFacility/address/address,,
2310C.N302,Address Information,Address information,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail//claim/hcfa1500Info/renderingFacility/address/address2,,
N4,"Segment - N4 Service Facility Location City, State, ZIP Code (Required)",,,,,,,
2310C.N401,City Name,Free-form text for city name,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail//claim/hcfa1500Info/renderingFacility/address/city,,
2310C.N402,State or Province Code,Code (Standard State/Province) as defined by appropriate government agency,S,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hcfa1500Info/renderingFacility/address/stateCode,,
2310C.N403,Postal Code,Code defining international postal zone code excluding punctuation and blanks (zip code for United States),S,,,"getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hcfa1500Info/renderingFacility/address/zipCode
 + getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hcfa1500Info/renderingFacility/address/zipExtension",,
2310C.N404,Country Code,Code identifying the country,S,,,,,
2310C.N407,Country Subdivision Code,Code identifying the country subdivision,S,,,,,
REF,Segment - REF Service Facility Location Secondary Identification (Situational),,,,,,,
2310C.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"0B : State License Number
G2 : Provider Commercial Number
LU : Location Number",LU,,,
2310C.REF02,Reference Identification,"Reference information as defined for a particular Transaction Set or as specified
by the Reference Identification Qualifier/Laboratory or Facility Secondary Identifier",R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/hcfa1500Info/renderingFacility/otherId/,,
PER,Segment - PER Service Facility Contact Information (Situational),,,,,,,
2310C.PER01,Contact Function Code,Code identifying the major duty or responsibility of the person or group named,R,IC : Information Contact,,,,
2310C.PER02,Name,Name,S,,,,,
2310C.PER03,Communication Number Qualifier,Code identifying the type of communication number,R,TE : Telephone,,,,
2310C.PER04,Communication Number,Complete communications number including country or area code when applicable,R,,,,,
2310C.PER05,Communication Number Qualifier,Code identifying the type of communication number,R,EX :  Telephone Extension,,,,
2310C.PER06,Communication Number,"Complete communications number including country or area code when
applicable",S,,,,,
Loop: 2420D — SUPERVISING PROVIDER NAME Loop Repeat: 1,,,,,,,,
NM1,Segment - NM1 Supervising Provider Name (Situational),,,,,,,
2310D.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,DQ : Supervising Physician,,,,
2310D.NM102,Entity Type Qualifier,Code qualifying the type of entity,R,1 : Person,,,,
2310D.NM103,Name Last or Organization Name,Individual last name or organizational name,R,,,,,
2310D.NM104,Name First,Individual first name,S,,,,,
2310D.NM105,Name Middle,Individual middle name or initial,S,,,,,
2310D.NM107,Name Suffix,Suffix to individual name,S,,,,,
2310D.NM108,Identification Code Qualifier,"Code designating the system/method of code structure used for Identification
Code",S,,,,,
2310D.NM109,Identification Code,Code identifying a party or other code /  Supervising Provider Identifier,S,,,,,
REF,Segment - REF Supervising Provider Secondary Identification (Situational),,,,,,,
2310D.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"0B : State License Number
G2 : Provider Commercial Number
LU : Location Number",,,,
2310D.REF02,Reference Identification,Supervising Provider Secondary Identifier,R,,,,,
Loop: 2420E — ORDERING PROVIDER NAME Loop Repeat: 1,,,,,,,,
NM1,Segment - NM1 Ambulance Pick-up Location (Situational),,,,,,,
2310E.NM101,Entity Identifier Code,"Code identifying an organizational entity, a physical location, property or an
individual",R,PW :  Pickup Address,"Hardcode ""PW""",,,
