EDILoopID. Segment,EDI Data Element Name,EDI Element Description,Usage,Enumeration Values,Sample values,Encounter Mapping,HRP Element Description,Transformation Logic,Comments
REF,Segment - REF Payer Claim Control Number (Situational),,,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,F8 : Original Reference Number,,,,,
2300.REF02,Reference Identification,Payer Claim Control Number,R,,,,"Original Claim ID
 Claim ID (Unique identifier assigned to the supplier invoice )
HccClaimNumberType",Map only for void/replacement claims (2300.CLM05.03 = '7' or '8',
,,,R,,,,"If a resubmission, the original reference number",Map only for void/replacement claims (2300.CLM05.03 = '7' or '8',
REF,Segment - REF Clinical Laboratory Improvement Amendment (CLIA) Number (Situational),,,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,"X4 : Clinical Laboratory Improvement Amendment
Number",,,,,
2300.REF02,Reference Identification,Clinical Laboratory Improvement Amendment Number,R,,,,,,
REF,Segment - REF Repriced Claim Number (Situational),,,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,9A : Repriced Claim Reference Number,,,,,
2300.REF02,Reference Identification,Repriced Claim Reference Number,R,,,,,,
REF,Segment - REF Adjusted Repriced Claim Number (Situational),,,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,9C :  Adjusted Repriced Claim Reference Number,,,,,
2300.REF02,Reference Identification,Adjusted Repriced Claim Reference Number,R,,,,,,
REF,Segment - REF Investigational Device Exemption Number (Situational),,,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,LX : Qualified Products List,,,,,
2300.REF02,Reference Identification,Investigational Device Exemption Identifier,R,,,,,,
REF,Segment - REF Claim Identification For Transmission Intermediaries (Situational),,,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,D9 : Claim Number,,,,,
2300.REF02,Reference Identification,Value Added Network Trace Number,R,,,,Clearing house trace number,,
REF,Segment - REF Medical Record Number (Situational),,,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,EA :  Medical Record Identification Number,,,,,
2300.REF02,Reference Identification,Value Added Network Trace Number,R,,,,,,
REF,Segment - REF Demonstration Project Identifier (Situational),,,,,,,,
2300.REF01,Reference Identification Qualifier,Code qualifying the Reference Identification,R,P4 :   Project Code,,,,,
2300.REF02,Reference Identification,Value Added Network Trace Number,R,,,,,,
K3,Segment - K3 File Information (Situational),,,,,,,,
2300.K301,Fixed Format Information,Data in fixed format agreed upon by sender and receiver,R,,,,,,
NTE,Segment - NTE Claim Note (Situational),,,,,,,,
2300.NTE01,Note Reference Code,Code identifying the functional area or purpose for which the note applies,R,ADD Additional Information,,,,,
2300.NTE02,Description,A free-form description to clarify the related data elements and their content  /  Claim Note Text,R,,,,Contains general remarks related to the claim,,
CR1,Segment - CR1 Ambulance Transport Information (Situational),,,,,,,,
2300.CR101,Unit or Basis for Measurement Code,"Code specifying the units in which a value is being expressed, or manner in which
a measurement has been taken",S,ZZ Mutually Defined,,,,,
2300.CR102,Weight,Patient Weight,S,"N No
650 If no, then choose “NU” in CRC03 indicating no
referral given.
Y Yes",,,Patient Weight,,
2300.CR104,Ambulance Transport Reason Code,Code indicating the reason for ambulance transport,R,"A : Patient was transported to nearest facility
B : Patient was transported for the benefit of a preferred physician
C : Patient was transported for the nearness of family members
D : Patient was transported for the care of a specialist
E : Patient Transferred to Rehabilitation Facility",,,Transport Reason,,
2300.CR105,Unit or Basis for Measurement Code,"Code specifying the units in which a value is being expressed, or manner in which a measurement has been taken",R,DH : Miles,,,Transport Unit Type,,
2300.CR106,Quantity,Transport Distance,R,,,,Transport Value,,
2300.CR109,Description,"Round Trip Purpose Description. Required when the ambulance service is for a round
trip.",S,,,,Round Trip Purpose,,
2300.CR110,Description,Stretcher Purpose Description,S,,,,,,
CR2,Segment - CR2 Spinal Manipulation Service Information (Situational),,,,,,,,
2300.CR208,Nature of Condition Code,Code indicating the nature of a patient’s condition,R,,,,,,
2300.CR210,Description,Patient Condition Description,S,,,,,,
2300.CR211,Description,Patient Condition Description,S,,,,,,
CRC,Segment - CRC Ambulance Certification (Situational),,,,,,,,
2300.CRC01,Code Category,Specifies the situation or category to which the code applies,R,07 : Ambulance Certification,,,,,
2300.CRC02,Yes/No Condition or Response Code,Certification Condition Indicator,R,"Y : Yes
N : No",,,,,
2300.CRC03,Condition Indicator,Code indicating a condition,R,"01 : Patient was admitted to a hospital
04 : Patient was moved by stretcher
05 : Patient was unconscious or in shock
06 : Patient was transported in an emergency situation
07 : Patient had to be physically restrained
08 : Patient had visible hemorrhaging
09 : Ambulance service was medically necessary
12 : Patient is confined to a bed or chair",,,Condition code,,
2300.CRC04,Condition Indicator,Code indicating a condition when a second condition code is necessary,S,"01 : Patient was admitted to a hospital
04 : Patient was moved by stretcher
05 : Patient was unconscious or in shock
06 : Patient was transported in an emergency situation
07 : Patient had to be physically restrained
08 : Patient had visible hemorrhaging
09 : Ambulance service was medically necessary
12 : Patient is confined to a bed or chair",,,Condition code,,
2300.CRC05,Condition Indicator,Code indicating a condition when a third condition code is necessary,S,"01 : Patient was admitted to a hospital
04 : Patient was moved by stretcher
05 : Patient was unconscious or in shock
06 : Patient was transported in an emergency situation
07 : Patient had to be physically restrained
08 : Patient had visible hemorrhaging
09 : Ambulance service was medically necessary
12 : Patient is confined to a bed or chair",,,Condition code,,
2300.CRC06,Condition Indicator,Code indicating a condition when a fourth condition code is necessary,S,"01 : Patient was admitted to a hospital
04 : Patient was moved by stretcher
05 : Patient was unconscious or in shock
06 : Patient was transported in an emergency situation
07 : Patient had to be physically restrained
08 : Patient had visible hemorrhaging
09 : Ambulance service was medically necessary
12 : Patient is confined to a bed or chair",,,Condition code,,
2300.CRC07,Condition Indicator,Code indicating a condition when a fifth condition code is necessary,S,"01 : Patient was admitted to a hospital
04 : Patient was moved by stretcher
05 : Patient was unconscious or in shock
06 : Patient was transported in an emergency situation
07 : Patient had to be physically restrained
08 : Patient had visible hemorrhaging
09 : Ambulance service was medically necessary
12 : Patient is confined to a bed or chair",,,Condition code,,
CRC,Segment - CRC Patient Condition Information: Vision (Situational),,,,,,,,
2300.CRC01,Code Category,Specifies the situation or category to which the code applies,R,"E1 : Spectacle Lenses
E2 : Contact Lenses
E3 : Spectacle Frames",,,,,
2300.CRC02,Yes/No Condition or Response Code,Certification Condition Indicator,R,"Y : Yes
N : No",,,,,
2300.CRC03,Condition Indicator,Code indicating a condition,R,"L1 : General Standard of 20 Degree or .5 Diopter Sphere or Cylinder Change Met
L2 : Replacement Due to Loss or Theft L3 : Replacement Due to Breakage or Damage
L4 : Replacement Due to Patient Preference
 L5 : Replacement Due to Medical Reason",,,,,
2300.CRC04,Condition Indicator,Code indicating a condition,S,,,,,,
2300.CRC05,Condition Indicator,Code indicating a condition,S,,,,,,
2300.CRC06,Condition Indicator,Code indicating a condition,S,,,,,,
2300.CRC07,Condition Indicator,Code indicating a condition,S,,,,,,
CRC,Segment - CRC Homebound Indicator (Situational),,,,,,,,
2300.CRC01,Code Category,Specifies the situation or category to which the code applies,R,75 :  Functional Limitations,,,,,
2300.CRC02,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,R,Y :Yes,,,,,
2300.CRC03,Condition Indicator,Code indicating a condition,R,IH : Independent at Home,,,,,
CRC,Segment - CRC EPSDT Referral (Situational),,,,,,,,
2300.CRC01,Code Category,Specifies the situation or category to which the code applies,R,ZZ : Mutually Defined,,,,,
2300.CRC02,Yes/No Condition or Response Code,Code indicating a Yes or No condition or response,R,"Y : Yes
N : No",,,,,
2300.CRC03,Condition Indicator,Code indicating a condition,R,"AV : Available - Not Used
NU :Not Used
S2 :Under Treatment
ST :New Services Requested",,,,,
2300.CRC04,Condition Indicator,Code indicating a condition,S,,,,,,
2300.CRC05,Condition Indicator,Code indicating a condition,S,,,,,,
HI,Segment - HEALTH CARE DIAGNOSIS CODE (Required),,,,,,,,
2300.HI01.01,Code List Qualifier Code,Code identifying a specific industry code list/ Principal Diagnosis Type Code,R,"ABK : ICD10 -CM - Principal Diagnosis
BK : ICD9 -CM - Principal Diagnosis",,,,,
2300.HI01.02,Industry Code,Code indicating a code from a specific industry code list/Principal Diagnosis Code,R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/diagnosisCodes/diagnosisCode,Diagnosis code,"If we get more than 3 digits, should add a dot (.)after 3rd Character",
2300.HI02.01,Code List Qualifier Code,Diagnosis Type Code,R,"ABF : ICD10 -CM -  Diagnosis
BF : ICD9 -CM -  Diagnosis",,,,,
2300.HI02.02,Industry Code,Diagnosis Code,R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/diagnosisCodes/diagnosisCode,Diagnosis code,"If we get more than 3 digits, should add a dot (.)after 3rd Character",
2300.HI03.01,Code List Qualifier Code,"Diagnosis Type Code (Required when it is necessary to report an additional
diagnosis and the preceding HI data elements have been used to
report other diagnoses)",R,"ABF : ICD10 -CM -  Diagnosis
BF : ICD9 -CM -  Diagnosis",,,,,
2300.HI03.02,Industry Code,Diagnosis Code,R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/diagnosisCodes/diagnosisCode,Diagnosis code,"If we get more than 3 digits, should add a dot (.)after 3rd Character",
2300.HI04.01,Code List Qualifier Code,"Diagnosis Type Code (Required when it is necessary to report an additional
diagnosis and the preceding HI data elements have been used to
report other diagnoses)",R,"ABF : ICD10 -CM -  Diagnosis
BF : ICD9 -CM -  Diagnosis",,,,,
2300.HI04.02,Industry Code,Diagnosis Code,R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/diagnosisCodes/diagnosisCode,Diagnosis code,"If we get more than 3 digits, should add a dot (.)after 3rd Character",
2300.HI05.01,Code List Qualifier Code,"Diagnosis Type Code (Required when it is necessary to report an additional
diagnosis and the preceding HI data elements have been used to
report other diagnoses)",R,"ABF : ICD10 -CM -  Diagnosis
BF : ICD9 -CM -  Diagnosis",,,,,
2300.HI05.02,Industry Code,Diagnosis Code,R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/diagnosisCodes/diagnosisCode,Diagnosis code,"If we get more than 3 digits, should add a dot (.)after 3rd Character",
2300.HI06.01,Code List Qualifier Code,"Diagnosis Type Code (Required when it is necessary to report an additional
diagnosis and the preceding HI data elements have been used to
report other diagnoses)",R,"ABF : ICD10 -CM -  Diagnosis
BF : ICD9 -CM -  Diagnosis",,,,,
2300.HI06.02,Industry Code,Diagnosis Code,R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/diagnosisCodes/diagnosisCode,Diagnosis code,"If we get more than 3 digits, should add a dot (.)after 3rd Character",
2300.HI07.01,Code List Qualifier Code,"Diagnosis Type Code (Required when it is necessary to report an additional
diagnosis and the preceding HI data elements have been used to
report other diagnoses)",R,"ABF : ICD10 -CM -  Diagnosis
BF : ICD9 -CM -  Diagnosis",,,,,
2300.HI07.02,Industry Code,Diagnosis Code,R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/diagnosisCodes/diagnosisCode,Diagnosis code,"If we get more than 3 digits, should add a dot (.)after 3rd Character",
2300.HI08.01,Code List Qualifier Code,"Diagnosis Type Code (Required when it is necessary to report an additional
diagnosis and the preceding HI data elements have been used to
report other diagnoses)",R,"ABF : ICD10 -CM -  Diagnosis
BF : ICD9 -CM -  Diagnosis",,,,,
2300.HI08.02,Industry Code,Diagnosis Code,R,,,professionalClaimIBRequestRoot/professionalClaimIBRequest/professionalClaimSubmitRequestRecordList/professionalClaimSubmitRequestRecord/professionalClaim/diagnosisCodes/diagnosisCode,Diagnosis code,"If we get more than 3 digits, should add a dot (.)after 3rd Character",
