̥,Element Name,Usage,Enumeration Values,Hard Code / Default Value,XML Field,Mapping Logic,Notes/Comments
2400.HCP14,Policy Compliance Code,S,"1 Procedure Followed (Compliance)
2 Not Followed - Call Not Made (Non-Compliance Call
Not Made)
3 Not Medically Necessary (Non-Compliance NonMedically Necessary)
4 Not Followed Other (Non-Compliance Other)
5 Emergency Admit to Non-Network Hospital",,,,
2400.HCP15,Exception Code,S,"1 Non-Network Professional Provider in Network
Hospital
2 Emergency Care
3 Services or Specialist not in Network
4 Out-of-Service Area
5 State Mandates
6 Other",,,,
,Loop 2410 - Drug identification,,,,,,
,Segment - LIN Drug identification (Situational),,,,,,
2410.LIN02,Product/Service ID Qualifier,R,N4 National Drug Code in 5-4-2 Format,N4,,,
2410.LIN03,Product/Service ID,R,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/ndcCodes/NDCCode/ndcCode,,
,Segment - CTP Drug Quantity (Required),,,,,,
2410.CTP04,Quantity,R,,,ClaimServiceStronglyTypedOBResponseRoot/ClaimServiceStronglyTypedOBResponse/getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/ndcCodes/NDCCode/quantity,,
2410.CTP05,COMPOSITE UNIT OF MEASURE,R,,,,,
2410.CTP05 - 1,Unit or Basis for Measurement Code,,"DA Days
UN Unit",UN,,,
,Segment - REF Prescription or compound drug association Number (Situational),,,,,,
2410.REF01,Reference Identification Qualifier,R,"VY Link Sequence Number
XZ Pharmacy Prescription Number",,,,
2410.REF02,Reference Identification,R,,,,,
,Loop 2420A (Situational),,,,,,
,Segment - NM1 Operating Physician Name (Situational),,,,,,
2420A.NM101,Entity Identifier Code,R,,,,,
2420A.NM102,Entity Type Qualifier,R,,,,,
2420A.NM103,Name Last or Organization Name,R,,,,,
2420A.NM104,Name First,S,,,,,
2420A.NM105,Name Middle,S,,,,,
2420A.NM107,Name Suffix,S,,,,,
2420A.NM108,Identification Code Qualifier,S,,,,,
2420A.NM109,Identification Code,S,,,,,
,Segment - REF Operating Physician Secondary Identification (Situational),,,,,,
2420A.REF01,Reference Identification Qualifier,R,,,,,
2420A.REF02,Reference Identification,R,,,,,
2420A.REF04.01,Reference Identification Qualifier,R,,,,,
2420A.REF04.02,Reference Identification,R,,,,,
,Loop 2420B (Situational),,,,,,
,Segment - NM1 Other Operating Physician Name (Situational),,,,,,
2420B.NM101,Entity Identifier Code,R,,,,,
2420B.NM102,Entity Type Qualifier,R,,,,,
2420B.NM103,Name Last or Organization Name,R,,,,,
2420B.NM104,Name First,S,,,,,
2420B.NM105,Name Middle,S,,,,,
2420B.NM107,Name Suffix,S,,,,,
2420B.NM108,Identification Code Qualifier,S,,,,,
2420B.NM109,Identification Code,S,,,,,
,Segment - REF Other Operating Physician Secondary Identification (Situational),,,,,,
2420B.REF01,Reference Identification Qualifier,R,,,,,
2420B.REF02,Reference Identification,R,,,,,
2420B.REF04.01,Reference Identification Qualifier,R,,,,,
2420B.REF04.02,Reference Identification,R,,,,,
,Loop 2420C (Situational),,,,,,
,Segment - NM1 Rendering Provider Name (Situational),,,"Populate only if
different from Claim level 2310D and 2310A",,,
2420C.NM101,Entity Identifier Code,R,82 Rendering Provider,82,,,
2420C.NM102,Entity Type Qualifier,R,1 Person,I,,,
2420C.NM103,Name Last or Organization Name,R,,,claimDetails/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/renderingPractitioner/practitioner/lastName/,,
2420C.NM104,Name First,S,,,claimDetails/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/renderingPractitioner/practitioner/firstName/,,
2420C.NM105,Name Middle,S,,,getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/renderingPractitioner/practitioner/middleName,,
2420C.NM107,Name Suffix,S,,,claimDetails/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/renderingPractitioner/practitioner/credentialSuffix/,,
2420C.NM108,Identification Code Qualifier,S,,XX,,,
2420C.NM109,Identification Code,S,,,claimDetails/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/renderingPractitioner/NPI/,,
,Segment - REF Rendering Provider Secondary Identification (Situational),,,,,,
2420C.REF01,Reference Identification Qualifier,R,"0B State License Number
1G Provider UPIN Number
G2 Provider Commercial Number
LU Location Number",G2,,,
2420C.REF02,Reference Identification,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/renderingPractitioner/NPI,,Populate this if billing provider is different
2420C.REF04.01,Reference Identification Qualifier,R,,,,,
2420C.REF04.02,Reference Identification,R,,,,,
,Loop 2420D (Situational),,,,,,
,Segment - NM1 Referring Provider Name (Situational),,,,,,
2420D.NM101,Entity Identifier Code,R,DN Referring Provider,DN,,,
2420D.NM102,Entity Type Qualifier,R,1 Person,1,,,
2420D.NM103,Name Last or Organization Name,R,,,/claim/claimLine/claimLine/referringInformation/practitioner/lastName,,
2420D.NM104,Name First,S,,,/claim/claimLine/claimLine/referringInformation/practitioner/firstName,,
2420D.NM105,Name Middle,S,,,/claim/claimLine/claimLine/referringInformation/practitioner/middleName,,
2420D.NM107,Name Suffix,S,,,/claim/claimLine/claimLine/referringInformation/practitioner/nameSuffix,,
2420D.NM108,Identification Code Qualifier,S,"XX Centers for Medicare and Medicaid Services
National Provider Identifier",XX,,,
2420D.NM109,Identification Code,S,,,/claim/claimLine/claimLine/referringInformation/NPI,,
,Segment - REF Referring Provider Secondary Identification (Situational),,,,,,
2420D.REF01,Reference Identification Qualifier,R,"0B State License Number
1G Provider UPIN Number
G2 Provider Commercial Number",,/claim/claimLine/claimLine/referringInformation/practitionerIdQualifier,,
2420D.REF02,Reference Identification,S,Referring Provider Secondary Identifier,,/claim/claimLine/claimLine/referringInformation/practitionerId,,
2420D.REF04.01,Reference Identification Qualifier,R,2U Payer Identification Number,,,,
2420D.REF04.02,Reference Identification,R,Other Payer Primary Identifier,,,,
,Loop 2430 (Situational) - First instance,,,,,,
,Segment - SVD Line Adjudication Information (Situational),,,,,,
2430.SVD01,Identification Code,R,,,Create 1st instance of SVD and corresponding CAS segment loop all the time for all service lines and this SVD 01 should always match the 1st instance of 2330BB NM109 loop,,Populate it to Match the value in 2330B.NM109 which is the benefit plan ID on the claim.
2430.SVD02,Monetary Amount,R,,,claim/claimLine/claimLine/paidAmount,,
2430.SVD03.01,Product/Service ID Qualifier,R,"HC :(HCPCS) Codes
HP: Health Insurance Prospective Payment System
(HIPPS)",,"Hardcode 'HP'  If /eobClaimDetail/claim/claimLine/claimLine/claimLineCustomTags/key  is  SERVICE_TYPE_NAME  AND
/eobClaimDetail/claim/claimLine/claimLine/claimLineCustomTags/value is HIPPS Code

Else
Hardcode 'HC'",,
2430.SVD03.02,Product/Service ID,R,,,claim/claimLine/claimLine/serviceCode,,
2430.SVD03.03,Procedure Modifier,S,,,claim/claimLine/claimLine/modifierList/string,,
2430.SVD03.04,Procedure Modifier,S,,,claim/claimLine/claimLine/modifierList/string,,
2430.SVD03.05,Procedure Modifier,S,,,claim/claimLine/claimLine/modifierList/string,,
2430.SVD03.06,Procedure Modifier,S,,,claim/claimLine/claimLine/modifierList/string,,
2430.SVD03.07,Description,S,,,,,
2430.SVD04,Product/Service ID,R,,,claim/claimLine/revenueCode,,
2430.SVD05,Quantity,R,,,claim/claimLine/claimLine/units,,
2430.SVD06,Assigned Number,S,,,claim/claimLine/claimLine/originalLineNumber/,,"Map when originalLineNumber is different from re-ordered claimLineId
and claim/claimLine/claimLine/isSplit/ is 'true'."
,Segment - CAS Line Adjustment (Situational),,,,,,
2430.CAS01,Claim Adjustment Group Code,R,"CO Contractual Obligations
CR Correction and Reversals
OA Other adjustments
PI Payor Initiated Reductions
PR Patient Responsibility",,/claim/claimLine/claimLine/eobBaseBenefitInfo/claimAdjustments/claimAdjustment/claimAdjustmentGroupCode,Group the CAS segment based on the claimAdjustmentGroupCode,Not getting theses tags in Soap
2430.CAS02,Claim Adjustment Reason Code,R,,,/claim/claimLine/claimLine/eobBaseBenefitInfo/claimAdjustments/claimAdjustment/claimAdjustmentReasonCode,,
2430.CAS03,Monetary Amount,R,,,/claim/claimLine/claimLine/eobBaseBenefitInfo/claimAdjustments/claimAdjustment/claimAdjustmentAmount,,
2430.CAS04,Quantity,S,,,,,
2430.CAS05,Claim Adjustment Reason Code,S,,,/claim/claimLine/claimLine/eobBaseBenefitInfo/claimAdjustments/claimAdjustment/claimAdjustmentReasonCode,,
2430.CAS06,Monetary Amount,S,,,/claim/claimLine/claimLine/eobBaseBenefitInfo/claimAdjustments/claimAdjustment/claimAdjustmentAmount,,
2430.CAS07,Quantity,S,,,,,
2430.CAS08,Claim Adjustment Reason Code,S,,,/claim/claimLine/claimLine/eobBaseBenefitInfo/claimAdjustments/claimAdjustment/claimAdjustmentReasonCode,,
2430.CAS09,Monetary Amount,S,,,/claim/claimLine/claimLine/eobBaseBenefitInfo/claimAdjustments/claimAdjustment/claimAdjustmentAmount,,
2430.CAS10,Quantity,S,,,,,
2430.CAS11,Claim Adjustment Reason Code,S,,,/claim/claimLine/claimLine/eobBaseBenefitInfo/claimAdjustments/claimAdjustment/claimAdjustmentReasonCode,,
2430.CAS12,Monetary Amount,S,,,/claim/claimLine/claimLine/eobBaseBenefitInfo/claimAdjustments/claimAdjustment/claimAdjustmentAmount,,
2430.CAS13,Quantity,S,,,,,
2430.CAS14,Claim Adjustment Reason Code,S,,,/claim/claimLine/claimLine/eobBaseBenefitInfo/claimAdjustments/claimAdjustment/claimAdjustmentReasonCode,,
2430.CAS15,Monetary Amount,S,,,/claim/claimLine/claimLine/eobBaseBenefitInfo/claimAdjustments/claimAdjustment/claimAdjustmentAmount,,
2430.CAS16,Quantity,S,,,,,
2430.CAS17,Claim Adjustment Reason Code,S,,,/claim/claimLine/claimLine/eobBaseBenefitInfo/claimAdjustments/claimAdjustment/claimAdjustmentReasonCode,,
2430.CAS18,Monetary Amount,S,,,/claim/claimLine/claimLine/eobBaseBenefitInfo/claimAdjustments/claimAdjustment/claimAdjustmentAmount,,
2430.CAS19,Quantity,S,,,,,
,Segment - DTP Line Check or Remittance Date (Required),,,,,,
2430.DTP01,Date/Time Qualifier,R,573 Date Claim Paid,573,,,
2430.DTP02,Date Time Period Format Qualifier,R,D8 Date Expressed in Format CCYYMMDD,D8,,,
2430.DTP03,Date Time Period,R,,,getClaimDetailsByHccIDResponseRecordList/getClaimDetailsByHccIDResponseRecord/getClaimDetailsByHccIDResponse/claimDetails/claimExtract/EOBPaymentInformation/paymentDate,,
,Segment - AMT Remaining Patient Liability (Situational),,,,,,
2430.AMT01,Amount Qualifier Code,R,,EAF,,,
2430.AMT02,Monetary Amount,R,,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/eobClaimDetail/claim/claimLine/claimLine/eobBaseBenefitInfo/benefitInfo/memberResponsibilityAmount,,
,Loop 2430 (Situational) - ADDITIONAL INSTANCES,,,,,,
,Segment - SVD Line Adjudication Information (Situational),,,,,,
2430.SVD01,Identification Code,R,,Populate it to Match the value in 2330B.NM109 which is the benefit plan ID on the claim.,,,Not getting theses tags in Soap
2430.SVD02,Monetary Amount,R,,,claimLine/claimLine/customEOBInfoList/customEOBInfo/eobPaidAmount,,
2430.SVD03.01,Product/Service ID Qualifier,R,"HC :(HCPCS) Codes
HP: Health Insurance Prospective Payment System
(HIPPS)",,"Hardcode 'HP'  If /eobClaimDetail/claim/claimLine/claimLine/claimLineCustomTags/key  is  SERVICE_TYPE_NAME  AND
/eobClaimDetail/claim/claimLine/claimLine/claimLineCustomTags/value is HIPPS Code

Else
Hardcode 'HC'",,
2430.SVD03.02,Product/Service ID,R,,,claim/claimLine/claimLine/serviceCode,,
2430.SVD03.03,Procedure Modifier,S,,,claim/claimLine/claimLine/modifierList/string,,
2430.SVD03.04,Procedure Modifier,S,,,claim/claimLine/claimLine/modifierList/string,,
2430.SVD03.05,Procedure Modifier,S,,,claim/claimLine/claimLine/modifierList/string,,
2430.SVD03.06,Procedure Modifier,S,,,claim/claimLine/claimLine/modifierList/string,,
2430.SVD03.07,Description,S,,,,,
2430.SVD04,Product/Service ID,R,,,,,
2430.SVD05,Quantity,R,,,claim/claimLine/claimLine/units,,
2430.SVD06,Assigned Number,S,,,claim/claimLine/claimLine/originalLineNumber/,,"Map when originalLineNumber is different from re-ordered claimLineId
and claim/claimLine/claimLine/isSplit/ is 'true'."
,Segment - CAS Line Adjustment (Situational),,,,,,
2430.CAS01,Claim Adjustment Group Code,R,"CO Contractual Obligations
CR Correction and Reversals
OA Other adjustments
PI Payor Initiated Reductions
PR Patient Responsibility",,claimLine/claimLine/customEOBInfoList/customEOBInfo/servicLineEobAdjustments/eobAdjustment/eobAdjustment/eobAdjustmentGroupCode,Group the CAS segment based on eobAdjustmentGroupCode,
2430.CAS02,Claim Adjustment Reason Code,R,,,claimLine/claimLine/customEOBInfoList/customEOBInfo/servicLineEobAdjustments/eobAdjustment/eobAdjustmentReasonCode,,
2430.CAS03,Monetary Amount,R,,,claimLine/claimLine/customEOBInfoList/customEOBInfo/servicLineEobAdjustments/eobAdjustment/eobAdjustmentAmount,,
2430.CAS04,Quantity,S,,,claimLine/claimLine/customEOBInfoList/customEOBInfo/servicLineEobAdjustments/eobAdjustment/eobAdjustmentQuantity,,
2430.CAS05,Claim Adjustment Reason Code,S,,,claimLine/claimLine/customEOBInfoList/customEOBInfo/servicLineEobAdjustments/eobAdjustment/eobAdjustmentReasonCode,,
2430.CAS06,Monetary Amount,S,,,claimLine/claimLine/customEOBInfoList/customEOBInfo/servicLineEobAdjustments/eobAdjustment/eobAdjustmentAmount,,
2430.CAS07,Quantity,S,,,claimLine/claimLine/customEOBInfoList/customEOBInfo/servicLineEobAdjustments/eobAdjustment/eobAdjustmentQuantity,,
2430.CAS08,Claim Adjustment Reason Code,S,,,claimLine/claimLine/customEOBInfoList/customEOBInfo/servicLineEobAdjustments/eobAdjustment/eobAdjustmentReasonCode,,
2430.CAS09,Monetary Amount,S,,,claimLine/claimLine/customEOBInfoList/customEOBInfo/servicLineEobAdjustments/eobAdjustment/eobAdjustmentAmount,,
2430.CAS10,Quantity,S,,,claimLine/claimLine/customEOBInfoList/customEOBInfo/servicLineEobAdjustments/eobAdjustment/eobAdjustmentQuantity,,
2430.CAS11,Claim Adjustment Reason Code,S,,,claimLine/claimLine/customEOBInfoList/customEOBInfo/servicLineEobAdjustments/eobAdjustment/eobAdjustmentReasonCode,,
2430.CAS12,Monetary Amount,S,,,claimLine/claimLine/customEOBInfoList/customEOBInfo/servicLineEobAdjustments/eobAdjustment/eobAdjustmentAmount,,
2430.CAS13,Quantity,S,,,claimLine/claimLine/customEOBInfoList/customEOBInfo/servicLineEobAdjustments/eobAdjustment/eobAdjustmentQuantity,,
2430.CAS14,Claim Adjustment Reason Code,S,,,claimLine/claimLine/customEOBInfoList/customEOBInfo/servicLineEobAdjustments/eobAdjustment/eobAdjustmentReasonCode,,
2430.CAS15,Monetary Amount,S,,,claimLine/claimLine/customEOBInfoList/customEOBInfo/servicLineEobAdjustments/eobAdjustment/eobAdjustmentAmount,,
2430.CAS16,Quantity,S,,,claimLine/claimLine/customEOBInfoList/customEOBInfo/servicLineEobAdjustments/eobAdjustment/eobAdjustmentQuantity,,
2430.CAS17,Claim Adjustment Reason Code,S,,,claimLine/claimLine/customEOBInfoList/customEOBInfo/servicLineEobAdjustments/eobAdjustment/eobAdjustmentReasonCode,,
2430.CAS18,Monetary Amount,S,,,claimLine/claimLine/customEOBInfoList/customEOBInfo/servicLineEobAdjustments/eobAdjustment/eobAdjustmentAmount,,
2430.CAS19,Quantity,S,,,claimLine/claimLine/customEOBInfoList/customEOBInfo/servicLineEobAdjustments/eobAdjustment/eobAdjustmentQuantity,,
,Segment - DTP Line Check or Remittance Date (Required),,,,,,
2430.DTP01,Date/Time Qualifier,R,573 Date Claim Paid,573,,,
2430.DTP02,Date Time Period Format Qualifier,R,D8 Date Expressed in Format CCYYMMDD,D8,,,
2430.DTP03,Date Time Period,R,,getClaimDetailsByHccIDListResponse/claimDetails/claimExtract/EOBPaymentInformation/paymentDate,,,
,Segment - AMT Remaining Patient Liability (Situational),,,,,,
2430.AMT01,Amount Qualifier Code,R,,,,,
2430.AMT02,Monetary Amount,R,,,,,
,Segment SE (Required),,,,,,
,SE Transaction Set Trailer (Required),,,,,,
SE01,Number of Included Segments,R,,Count Of ST,,,
SE02,Transaction Set Control Number,R,,STO2 Value,,,
,Segment GE (Required),,,,,,
,GE Functional Group Trailer (Required),,,,,,
GE01,Number of Transaction Sets Included,R,,Count Of GS,,,
GE02,Group Control Number,R,,GS06 Value,,,
,Segment IEA (Required),,,,,,
,IEA Interchange Control Trailer (Required),,,,,,
IEA01,Number of Included Functional Groups,R,,Count Of ISA,,,
IEA02,Segment -,R,,ISA13 Value,,,
